,negative_sum,positive_sum,total_sum,sentiment_score,average_score
2020-09-18,12,4,16,4.752404545899481,0.29702528411871754
2020-09-19,8,36,44,27.480810271343216,0.624563869803255
2020-09-20,7,12,19,11.022606517188251,0.5801371851151711
2020-09-21,11,12,23,9.838484940584749,0.42776021480803256
2020-09-22,4,7,11,6.119079338386655,0.5562799398533322
2020-09-23,5,9,14,6.947430997155607,0.49624507122540046
2020-09-24,5,13,18,10.017941079102457,0.5565522821723587
2020-09-25,6,9,15,8.176870469469577,0.5451246979646385
2020-09-26,1,6,7,5.019311495125294,0.7170444993036134
2020-09-27,3,10,13,8.590939925517887,0.6608415327321452
2020-09-28,9,6,15,5.43825312377885,0.3625502082519233
2020-09-29,15,10,25,9.35030026268214,0.3740120105072856
2020-09-30,1,6,7,4.926992658525705,0.7038560940751007
2020-10-01,6,5,11,4.590080760419369,0.41728006912903354
2020-10-02,9,6,15,6.264662304427475,0.4176441536284983
2020-10-03,5,6,11,5.580236037028953,0.5072941851844504
2020-10-04,3,3,6,3.0034394524991512,0.5005732420831919
2020-10-05,6,2,8,2.533610092010349,0.31670126150129363
2020-10-06,10,16,26,15.090130480006337,0.5803896338463976
2020-10-07,11,16,27,13.534303115680814,0.5012704857659561
2020-10-08,10,11,21,11.026515124365687,0.5250721487793184
2020-10-09,13,10,23,10.640517327468842,0.4626311881508192
2020-10-10,12,12,24,11.471060551702976,0.47796085632095736
2020-10-11,11,10,21,10.046349027194083,0.47839757272352773
2020-10-12,12,13,25,12.275344557128847,0.49101378228515385
2020-10-13,11,7,18,7.895049192011356,0.4386138440006309
2020-10-14,17,12,29,11.857795080170035,0.40888948552310467
2020-10-15,4,8,12,6.934357311576605,0.5778631092980504
2020-10-16,15,10,25,10.062911450862885,0.40251645803451536
2020-10-17,9,11,20,9.423542115604505,0.47117710578022526
2020-10-18,7,10,17,8.464890686329454,0.49793474625467377
2020-10-19,6,1,7,2.0793949281796813,0.297056418311383
2020-10-20,4,8,12,7.242312693037093,0.6035260577530911
2020-10-21,2,5,7,4.834409866482019,0.6906299809260028
2020-10-22,5,7,12,6.68627161718905,0.5571893014324208
2020-10-23,9,6,15,6.925044460222125,0.461669630681475
2020-10-24,2,21,23,17.624049646779895,0.766263028120865
2020-10-25,10,20,30,17.312738329172134,0.5770912776390712
2020-10-26,13,30,43,28.39962636679411,0.6604564271347467
2020-10-27,5,7,12,6.1908565908670425,0.5159047159055868
2020-10-28,9,11,20,12.243375614285469,0.6121687807142735
2020-10-29,5,13,18,10.87377993017435,0.6040988850096861
2020-10-30,3,3,6,2.3266699016094208,0.38777831693490344
2020-10-31,5,16,21,13.580080369487405,0.6466704937851145
2020-11-01,6,5,11,4.757636692840606,0.4325124266218733
2020-11-02,4,9,13,8.012331957928836,0.6163332275329874
2020-11-03,2,7,9,6.517323821783066,0.7241470913092295
2020-11-04,1,6,7,5.645818501710892,0.8065455002444131
2020-11-05,9,12,21,10.41453749500215,0.4959303569048643
2020-11-06,4,3,7,2.7938650781288743,0.3991235825898392
2020-11-07,4,5,9,4.677068296819925,0.5196742552022139
2020-11-08,3,2,5,2.318102279677987,0.4636204559355974
2020-11-09,3,7,10,6.418332029134035,0.6418332029134035
2020-11-10,5,14,19,12.117872282862663,0.6377827517296139
2020-11-11,8,10,18,8.337247878778726,0.4631804377099292
2020-11-12,0,10,10,7.994343459606171,0.799434345960617
2020-11-13,18,3,21,6.3163469433784485,0.30077842587516423
2020-11-14,3,5,8,5.664618298411369,0.7080772873014212
2020-11-15,4,4,8,3.19419888057746,0.3992748600721825
2020-11-16,6,5,11,5.089950247434899,0.462722749766809
2020-11-17,9,12,21,9.75837392359972,0.4646844725523676
2020-11-18,1,6,7,5.014954877085984,0.7164221252979976
2020-11-19,26,13,39,11.56447375845164,0.29652496816542667
2020-11-20,3,3,6,2.7316780257970095,0.4552796709661682
2020-11-21,8,5,13,5.628910295665264,0.4329930996665588
2020-11-22,32,60,92,52.55166106391698,0.5712137072164889
2020-11-23,14,26,40,23.401666426099837,0.585041660652496
2020-11-24,8,13,21,10.232694670557976,0.48727117478847504
2020-11-25,12,11,23,10.961786179803312,0.47659939912188315
2020-11-26,6,7,13,6.366225702688098,0.489709669437546
2020-11-27,9,12,21,11.976795611903071,0.570323600566813
2020-11-28,8,100,108,79.78712301701307,0.7387696575649358
2020-11-29,3,9,12,7.534305933862925,0.6278588278219104
2020-11-30,2,8,10,6.510200649034232,0.6510200649034232
2020-12-01,2,24,26,19.131540942937136,0.7358284978052745
2020-12-02,3,4,7,3.41091290069744,0.4872732715282057
2020-12-03,10,3,13,4.316105138510466,0.33200808757772815
2020-12-04,9,10,19,9.933966148179024,0.5228403235883697
2020-12-05,4,7,11,5.915953043848276,0.537813913077116
2020-12-06,4,7,11,6.102107096463442,0.5547370087694038
2020-12-07,9,9,18,9.496299854945391,0.5275722141636329
2020-12-08,9,6,15,6.571029024664313,0.4380686016442875
2020-12-09,12,11,23,9.004661780549213,0.3915070339369223
2020-12-10,6,6,12,5.6041127890348434,0.46700939908623695
2020-12-11,13,14,27,11.797242287313566,0.43693489953013204
2020-12-12,42,31,73,27.37237337580882,0.37496401884669617
2020-12-13,7,4,11,3.8858885569497943,0.3532625960863449
2020-12-14,9,34,43,32.40466110710986,0.7535967699327875
2020-12-15,11,39,50,35.06717365793884,0.7013434731587768
2020-12-16,4,32,36,28.5804385188967,0.7939010699693527
2020-12-17,4,14,18,11.766364918090403,0.6536869398939112
2020-12-18,4,11,15,9.253366547636688,0.6168911031757792
2020-12-19,12,14,26,12.351603497285396,0.4750616729725152
2020-12-20,7,8,15,7.685804082080722,0.5123869388053814
2020-12-21,19,17,36,17.185781846754253,0.47738282907650703
2020-12-22,17,77,94,61.341398258693516,0.652568066581846
2020-12-23,13,23,36,21.115177740342915,0.5865327150095254
2020-12-24,12,15,27,13.40763484686613,0.4965790684024493
2020-12-25,6,18,24,15.440069113392383,0.6433362130580159
2020-12-26,18,22,40,20.651012644171715,0.5162753161042929
2020-12-27,115,38,153,44.795728851808235,0.2927825415150865
2020-12-28,632,22,654,58.1616382736247,0.08893216861410505
2020-12-29,72,84,156,70.41659781476483,0.45138844753054375
2020-12-30,33,48,81,42.32489177281968,0.5225295280595023
2020-12-31,19,38,57,34.243209715466946,0.6007580651836306
2021-01-01,16,81,97,67.09632271761075,0.6917146671918634
2021-01-02,11,17,28,15.107757508289069,0.539562768153181
2021-01-03,19,38,57,35.05546312686056,0.6150081250326414
2021-01-04,45,45,90,38.966809559613466,0.4329645506623718
2021-01-05,133,26,159,24.302095995284617,0.1528433710395259
2021-01-06,0,0,0,0.0,0.5
2021-01-07,13,9,22,7.897804517298937,0.35899111442267895
2021-01-08,23,15,38,15.069847625214607,0.39657493750564754
2021-01-09,21,42,63,35.15873503033072,0.5580751592115987
2021-01-10,128,72,200,77.71543498756364,0.3885771749378182
2021-01-11,175,146,321,143.3607406062074,0.44660666855516323
2021-01-12,37,42,79,35.46357948612422,0.44890606944461037
2021-01-13,39,30,69,30.919327064882964,0.4481061893461299
2021-01-14,23,19,42,19.89528928650543,0.47369736396441503
2021-01-15,26,5,31,7.938953284174204,0.25609526723142595
2021-01-16,13,12,25,10.686021627858281,0.42744086511433127
2021-01-17,11,9,20,8.850135618820786,0.44250678094103935
2021-01-18,9,5,14,5.121890170732513,0.36584929790946524
2021-01-19,10,22,32,20.145001022145152,0.629531281942036
2021-01-20,11,17,28,14.30936354259029,0.5110486979496532
2021-01-21,11,8,19,8.365751148201525,0.44030269201060657
2021-01-22,7,12,19,10.837723638862371,0.5704065073085459
2021-01-23,9,19,28,16.123569273389876,0.5758417597639242
2021-01-24,7,11,18,8.920832321047783,0.4956017956137657
2021-01-25,33,13,46,11.666076462250203,0.2536103578750044
2021-01-26,10,16,26,14.991806106409058,0.5766079271695792
2021-01-27,8,13,21,11.90446984488517,0.5668795164231033
2021-01-28,13,11,24,11.760323038790375,0.49001345994959894
2021-01-29,11,9,20,7.968823187984526,0.3984411593992263
2021-01-30,9,9,18,8.969379131682217,0.4982988406490121
2021-01-31,9,10,19,9.053009933326393,0.4764742070171786
2021-02-01,5,15,20,13.43152559734881,0.6715762798674405
2021-02-02,7,8,15,7.610430893488228,0.5073620595658819
2021-02-03,6,3,9,2.8024377562105656,0.3113819729122851
2021-02-04,7,16,23,14.354399819858372,0.6241043399938423
2021-02-05,8,11,19,10.699857838917524,0.5631504125746065
2021-02-06,12,36,48,28.765875723212957,0.5992890775669366
2021-02-07,5,38,43,29.012527745217085,0.674709947563188
2021-02-08,5,16,21,13.405344932805747,0.6383497587050355
2021-02-09,9,15,24,14.87704979814589,0.6198770749227455
2021-02-10,6,6,12,6.112061460502446,0.5093384550418705
2021-02-11,2,7,9,5.730176187120378,0.6366862430133753
2021-02-12,2,9,11,8.030491495504975,0.7300446814095433
2021-02-13,8,7,15,6.694742754101753,0.44631618360678355
2021-02-14,3,5,8,4.358413748443127,0.5448017185553908
2021-02-15,5,5,10,5.734538733959198,0.5734538733959198
2021-02-16,4,1,5,1.0392406433820724,0.2078481286764145
2021-02-17,7,10,17,8.351041840855032,0.49123775534441366
2021-02-18,6,12,18,10.816670006141067,0.6009261114522815
2021-02-19,19,12,31,12.649417690001428,0.40804573193552995
2021-02-20,13,23,36,21.377911935560405,0.5938308870989002
2021-02-21,6,16,22,12.05976856034249,0.548171298197386
2021-02-22,14,11,25,12.48041127063334,0.4992164508253336
2021-02-23,5,10,15,8.796240379102528,0.5864160252735019
2021-02-24,11,15,26,13.647361163515598,0.5248985062890614
2021-02-25,7,9,16,7.498687165323645,0.4686679478327278
2021-02-26,1,23,24,17.077497713267803,0.7115624047194918
2021-02-27,10,16,26,14.557933315169066,0.5599205121218872
2021-02-28,2,7,9,6.812111160252243,0.7569012400280271
2021-03-01,3,9,12,7.599842921830714,0.6333202434858928
2021-03-02,5,14,19,11.884121691808105,0.6254800890425318
2021-03-03,1,3,4,2.398598223924637,0.5996495559811592
2021-03-04,7,11,18,10.149484250694513,0.5638602361496952
2021-03-05,9,7,16,6.43899478437379,0.4024371740233619
2021-03-06,4,10,14,8.18200915819034,0.5844292255850243
2021-03-07,3,11,14,8.57519874162972,0.6125141958306942
2021-03-08,4,5,9,5.105918024666607,0.5673242249629564
2021-03-09,4,3,7,2.7152402638457716,0.38789146626368165
2021-03-10,2,10,12,8.132173857651651,0.6776811548043042
2021-03-11,4,3,7,2.768635530024767,0.3955193614321096
2021-03-12,23,9,32,11.793036127462983,0.3685323789832182
2021-03-13,3,7,10,5.474425075110048,0.5474425075110048
2021-03-14,4,16,20,13.440200888551772,0.6720100444275886
2021-03-15,3,9,12,7.551872837357223,0.6293227364464352
2021-03-16,9,11,20,9.679996027145535,0.4839998013572767
2021-03-17,5,11,16,8.944952599238604,0.5590595374524128
2021-03-18,5,9,14,7.580352410208434,0.5414537435863167
2021-03-19,8,9,17,8.713127790484577,0.512536928852034
