,negative_sum,positive_sum,total_sum,sentiment_score,average_score,lda_0,lda_1,lda_2,lda_3,lda_4,lda_5,lda_6,follow>10k,male,in_area,registration<2015,time_interval
2020-04-12,16,4,20,5.913406938314438,0.2956703469157219,0.0,0.35,0.1,0.0,0.0,0.2,0.05,0.05,0.75,0.6,0.4,1
2020-04-13,8,3,11,3.3050746177323163,0.300461328884756,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182,0.0,0.45454545454545453,0.0,0.09090909090909091,0.8181818181818182,0.9090909090909091,0.5454545454545454,1
2020-04-14,13,5,18,5.447264186106622,0.30262578811703456,0.0,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.5,0.0,0.0,0.7777777777777778,0.5,0.6666666666666666,1
2020-04-15,7,2,9,2.7907263105735183,0.3100807011748354,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.5555555555555556,0.1111111111111111,0.0,0.8888888888888888,0.6666666666666666,0.6666666666666666,1
2020-04-16,10,5,15,6.550155361182988,0.4366770240788658,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.0,0.2,0.06666666666666667,0.06666666666666667,0.6,0.3333333333333333,0.5333333333333333,1
2020-04-17,6,1,7,1.9941198490560055,0.2848742641508579,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.5714285714285714,1
2020-04-18,7,5,12,5.059719320386648,0.42164327669888735,0.16666666666666666,0.0,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.75,0.4166666666666667,0.5833333333333334,1
2020-04-19,6,4,10,4.6867334339767694,0.46867334339767697,0.1,0.0,0.1,0.1,0.1,0.5,0.0,0.0,0.9,0.7,0.8,1
2020-04-20,12,2,14,2.8672877345234156,0.20480626675167254,0.0,0.14285714285714285,0.2857142857142857,0.0,0.07142857142857142,0.42857142857142855,0.0,0.0,0.6428571428571429,0.2857142857142857,0.5714285714285714,1
2020-04-21,3,2,5,2.4500223621726036,0.4900044724345207,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.0,0.8,0.4,0.6,1
2020-04-22,6,3,9,3.093256749212742,0.3436951943569713,0.0,0.0,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.6666666666666666,2
2020-04-23,4,3,7,3.3470050506293774,0.4781435786613396,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.42857142857142855,0.5714285714285714,0.5714285714285714,1
2020-04-24,6,3,9,3.203114565461874,0.3559016183846527,0.1111111111111111,0.4444444444444444,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.5555555555555556,1
2020-04-25,7,1,8,1.9321362799964845,0.24151703499956056,0.125,0.0,0.125,0.125,0.0,0.25,0.25,0.0,0.625,0.375,1.0,1
2020-04-26,8,3,11,3.4401815608143806,0.3127437782558528,0.0,0.0,0.0,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.6363636363636364,0.5454545454545454,0.5454545454545454,1
2020-04-27,5,6,11,5.176462417468429,0.4705874924971299,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.45454545454545453,0.6363636363636364,0.7272727272727273,1
2020-04-28,4,6,10,4.960296242497861,0.49602962424978614,0.0,0.0,0.0,0.2,0.3,0.2,0.0,0.1,0.6,0.3,0.9,1
2020-04-29,7,7,14,5.370013929903507,0.38357242356453625,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.0,0.21428571428571427,0.5714285714285714,0.5,0.5714285714285714,1
2020-04-30,3,10,13,7.18934216350317,0.5530263202694746,0.0,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.0,0.0,0.46153846153846156,0.38461538461538464,0.7692307692307693,1
2020-05-01,6,8,14,6.850202734582126,0.48930019532729474,0.14285714285714285,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.0,0.0,0.7142857142857143,0.42857142857142855,0.6428571428571429,1
2020-05-02,5,4,9,3.728476731106639,0.4142751923451821,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.7777777777777778,0.4444444444444444,0.6666666666666666,1
2020-05-03,6,5,11,4.7965124431066215,0.4360465857369656,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.7272727272727273,0.8181818181818182,1
2020-05-04,2,3,5,2.730513973161578,0.5461027946323156,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.8,0.8,0.6,1
2020-05-05,7,5,12,4.5576599314808846,0.3798049942900737,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.75,0.6666666666666666,0.5,2
2020-05-06,3,4,7,4.171883665025234,0.5959833807178906,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,1
2020-05-07,69,7,76,11.127432418055832,0.14641358444810307,0.0,0.06578947368421052,0.09210526315789473,0.02631578947368421,0.0,0.25,0.05263157894736842,0.013157894736842105,0.7763157894736842,0.618421052631579,0.47368421052631576,1
2020-05-08,2,5,7,4.704001136124134,0.6720001623034477,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,1
2020-05-09,7,6,13,5.500996461138129,0.42315357393370223,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.0,0.15384615384615385,0.38461538461538464,0.23076923076923078,0.7692307692307693,0.38461538461538464,0.46153846153846156,1
2020-05-10,3,4,7,3.4612442264333367,0.4944634609190481,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,1
2020-05-11,7,4,11,4.119247808121145,0.37447707346555864,0.0,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0,0.6363636363636364,0.2727272727272727,0.5454545454545454,1
