,negative_sum,positive_sum,total_sum,sentiment_score,average_score
2020-04-19,6,4,10,4.6867334339767694,0.46867334339767697
2020-04-20,12,2,14,2.8672877345234156,0.20480626675167254
2020-04-21,3,2,5,2.4500223621726036,0.4900044724345207
2020-04-22,6,3,9,3.093256749212742,0.3436951943569713
2020-04-23,4,3,7,3.3470050506293774,0.4781435786613396
2020-04-24,6,3,9,3.203114565461874,0.3559016183846527
2020-04-25,7,1,8,1.9321362799964845,0.24151703499956056
2020-04-26,8,3,11,3.4401815608143806,0.3127437782558528
2020-04-27,5,6,11,5.176462417468429,0.4705874924971299
2020-04-28,4,6,10,4.960296242497861,0.49602962424978614
2020-04-29,7,7,14,5.370013929903507,0.38357242356453625
2020-04-30,3,10,13,7.18934216350317,0.5530263202694746
2020-05-01,6,9,15,7.434183592908084,0.4956122395272056
2020-05-02,5,4,9,3.728476731106639,0.4142751923451821
2020-05-03,6,5,11,4.7965124431066215,0.4360465857369656
2020-05-04,3,3,6,2.9214013647288084,0.4869002274548014
2020-05-05,7,5,12,4.5576599314808846,0.3798049942900737
2020-05-06,3,4,7,4.171883665025234,0.5959833807178906
2020-05-07,69,7,76,11.127432418055832,0.14641358444810307
2020-05-08,2,5,7,4.704001136124134,0.6720001623034477
2020-05-09,7,8,15,6.945468595251441,0.4630312396834294
2020-05-10,3,4,7,3.4612442264333367,0.4944634609190481
2020-05-11,7,4,11,4.119247808121145,0.37447707346555864
2020-05-12,0,2,2,1.5066497325897217,0.7533248662948608
2020-05-13,6,9,15,6.662455822806805,0.4441637215204537
2020-05-14,11,5,16,5.1029926324263215,0.3189370395266451
2020-05-15,7,8,15,5.90506874024868,0.393671249349912
2020-05-16,2,4,6,3.4579112604260445,0.5763185434043407
2020-05-17,7,4,11,4.052047558128834,0.36836795982989395
2020-05-18,0,2,2,1.6119531989097595,0.8059765994548798
2020-05-19,2,7,9,5.218751569278538,0.5798612854753932
2020-05-20,1,10,11,8.884138703346252,0.8076489730314775
2020-05-21,5,6,11,5.801866317167878,0.5274423924698071
2020-05-22,6,5,11,5.30105048045516,0.4819136800413782
2020-05-23,4,2,6,1.9466819111257792,0.3244469851876299
2020-05-24,1,1,2,1.0040484741330147,0.5020242370665073
2020-05-25,4,1,5,1.3751071151345968,0.27502142302691934
2020-05-26,1,4,5,3.2237943541258574,0.6447588708251715
2020-05-27,7,2,9,3.1936032082885504,0.35484480092095005
2020-05-28,7,4,11,4.519700772128999,0.41088188837536355
2020-05-29,10,3,13,3.9602885711938143,0.30463758239952415
2020-05-30,0,1,1,0.9763180017471313,0.9763180017471313
2020-05-31,3,5,8,5.336455652490258,0.6670569565612823
2020-06-01,4,4,8,3.684988400898874,0.4606235501123592
2020-06-02,2,5,7,4.239668025635183,0.6056668608050261
2020-06-03,4,4,8,3.8296792581677437,0.47870990727096796
2020-06-04,1,7,8,5.835874319076538,0.7294842898845673
2020-06-05,10,12,22,10.620679318904877,0.48275815085931256
2020-06-06,6,6,12,6.776919776573777,0.5647433147144815
2020-06-07,3,7,10,6.044342026114464,0.6044342026114464
2020-06-08,4,7,11,6.736517805606127,0.612410709600557
2020-06-09,5,3,8,2.9800730124115944,0.3725091265514493
2020-06-10,4,3,7,3.16045493632555,0.45149356233222143
2020-06-11,2,3,5,2.7499450286850333,0.5499890057370067
2020-06-12,5,5,10,5.140946390107274,0.5140946390107274
2020-06-13,2,6,8,4.5657473197206855,0.5707184149650857
2020-06-14,2,11,13,9.16177786141634,0.7047521431858723
2020-06-15,2,7,9,5.858765631914139,0.650973959101571
2020-06-16,4,6,10,5.25750798266381,0.525750798266381
2020-06-17,12,9,21,8.417663437314332,0.4008411160625872
2020-06-18,9,4,13,4.031106445007026,0.31008511115438664
2020-06-19,5,7,12,5.883930373005569,0.4903275310837974
2020-06-20,13,7,20,8.464889863040298,0.4232444931520149
2020-06-21,11,8,19,7.068414804525673,0.3720218318171407
2020-06-22,12,3,15,3.9481757250614464,0.2632117150040964
2020-06-23,8,6,14,6.328021897003055,0.45200156407164677
2020-06-24,7,7,14,6.190566028468311,0.44218328774773646
2020-06-25,3,5,8,4.760194070637226,0.5950242588296533
2020-06-26,15,19,34,17.89095153287053,0.5262044568491333
2020-06-27,13,5,18,6.736672583967447,0.37425958799819153
2020-06-28,1,4,5,3.408059117384255,0.681611823476851
2020-06-29,1,0,1,0.012274246662855148,0.012274246662855148
2020-06-30,0,0,0,0.0,0.5
2020-07-01,1,7,8,5.98732328787446,0.7484154109843075
2020-07-02,2,3,5,3.098242938518524,0.6196485877037048
2020-07-03,3,1,4,0.8804216217249632,0.2201054054312408
2020-07-04,3,1,4,1.5283696786500514,0.38209241966251284
2020-07-05,3,3,6,2.812227178364992,0.4687045297274987
