,negative_sum,positive_sum,total_sum,sentiment_score,average_score
2020-04-15,5,3,8,3.767048643901944,0.470881080487743
2020-04-16,3,5,8,4.194880328141153,0.5243600410176441
2020-04-17,2,3,5,2.72574741858989,0.545149483717978
2020-04-18,5,2,7,1.8463967605493963,0.2637709657927709
2020-04-19,9,3,12,3.193829394876957,0.26615244957307976
2020-04-20,2,3,5,2.5370496378745884,0.5074099275749177
2020-04-21,3,0,3,0.5432055070996284,0.18106850236654282
2020-04-22,6,4,10,4.593273155391216,0.45932731553912165
2020-04-23,3,3,6,2.813196048140526,0.468866008023421
2020-04-24,1,1,2,0.5611040182411671,0.28055200912058353
2020-04-25,2,3,5,2.734003484249115,0.546800696849823
2020-04-26,1,2,3,1.7271913178265095,0.5757304392755032
2020-04-27,4,3,7,2.998737722635269,0.4283911032336099
2020-04-28,6,1,7,1.6589454989880323,0.2369922141411475
2020-04-29,5,14,19,12.573452398180962,0.66176065253584
2020-04-30,3,17,20,14.43526104092598,0.721763052046299
2020-05-01,2,13,15,10.388766489923,0.6925844326615334
2020-05-02,4,3,7,3.0733287488110363,0.43904696411586236
2020-05-03,21,0,21,1.3129860232584178,0.06252314396468657
2020-05-04,1,4,5,4.20949512720108,0.8418990254402161
2020-05-05,1,0,1,0.17934374511241913,0.17934374511241913
2020-05-06,0,1,1,0.9528170228004456,0.9528170228004456
2020-05-07,0,0,0,0.0,0.5
2020-05-08,1,1,2,0.6949854493141174,0.3474927246570587
2020-05-09,0,3,3,2.5874743461608887,0.8624914487202963
2020-05-10,2,0,2,0.288288040086627,0.1441440200433135
2020-05-11,1,2,3,1.8892165953293443,0.6297388651097814
2020-05-12,1,0,1,0.060147661715745926,0.060147661715745926
2020-05-13,1,0,1,0.035034384578466415,0.035034384578466415
2020-05-14,2,0,2,0.0640622042119503,0.03203110210597515
2020-05-15,3,3,6,2.619897802360356,0.436649633726726
2020-05-16,0,3,3,2.6089616417884827,0.8696538805961609
2020-05-17,1,2,3,1.6476211845874786,0.5492070615291595
2020-05-18,0,0,0,0.0,0.5
2020-05-19,1,1,2,0.795766606926918,0.397883303463459
2020-05-20,1,2,3,1.5992009490728378,0.5330669830242792
2020-05-21,0,0,0,0.0,0.5
