,negative_sum,positive_sum,total_sum,sentiment_score,average_score
2020-07-16,2,6,8,5.781451642513275,0.7226814553141594
2020-07-17,5,11,16,10.417454664129764,0.6510909165081102
2020-07-18,6,5,11,4.700536482967436,0.4273214984515851
2020-07-19,1,9,10,8.111345380544662,0.8111345380544662
2020-07-20,3,7,10,5.950629163533449,0.595062916353345
2020-07-21,4,5,9,4.72803471237421,0.5253371902638011
2020-07-22,5,2,7,2.437066499143839,0.3481523570205484
2020-07-23,6,8,14,6.957959558814764,0.4969971113439117
2020-07-24,6,15,21,12.722557056229562,0.6058360502966458
2020-07-25,4,36,40,28.23275052756071,0.7058187631890178
2020-07-26,17,21,38,19.584800710901618,0.5153894923921478
2020-07-27,4,5,9,4.733257303014398,0.5259174781127108
2020-07-28,1,2,3,1.588820131495595,0.5296067104985317
2020-07-29,3,11,14,8.659647732973099,0.6185462666409356
2020-07-30,1,9,10,7.36712047085166,0.736712047085166
2020-07-31,2,2,4,2.4827084690332413,0.6206771172583103
2020-08-01,3,10,13,8.416512864641845,0.6474240665109112
2020-08-02,2,22,24,16.2549678273499,0.6772903261395792
2020-08-03,6,4,10,4.323877791874111,0.43238777918741106
2020-08-04,1,12,13,8.546352218836546,0.6574117091412728
2020-08-05,4,2,6,1.9880380146205425,0.3313396691034238
2020-08-06,2,4,6,3.024263712577522,0.5040439520962536
2020-08-07,3,16,19,12.602460608584806,0.6632874004518319
2020-08-08,2,10,12,7.290197394788265,0.6075164495656887
2020-08-09,3,12,15,9.523880982305855,0.6349253988203903
2020-08-10,3,12,15,10.150739507749677,0.6767159671833117
2020-08-11,1,1,2,0.8109821602702141,0.40549108013510704
2020-08-12,3,5,8,4.528463579714298,0.5660579474642873
2020-08-13,3,3,6,3.0529059432446957,0.5088176572074493
2020-08-14,0,3,3,2.4668691158294678,0.8222897052764893
2020-08-15,6,4,10,4.481515452265739,0.44815154522657397
2020-08-16,1,0,1,0.020667219534516335,0.020667219534516335
2020-08-17,1,5,6,4.697005420923233,0.7828342368205389
2020-08-18,5,2,7,2.4421499436721206,0.3488785633817315
2020-08-19,5,89,94,75.72830782365054,0.8056202959962824
2020-08-20,22,21,43,22.450550563633442,0.5221058270612429
2020-08-21,3,6,9,5.5367152988910675,0.6151905887656741
2020-08-22,2,6,8,4.85558208823204,0.606947761029005
2020-08-23,2,2,4,1.7769740223884583,0.44424350559711456
2020-08-24,4,2,6,1.9024464637041092,0.31707441061735153
2020-08-25,4,0,4,0.9644324705004692,0.2411081176251173
2020-08-26,4,2,6,1.7555106189101934,0.2925851031516989
2020-08-27,4,1,5,0.9734550546854734,0.19469101093709468
2020-08-28,2,5,7,4.434984430670738,0.6335692043815341
2020-08-29,5,2,7,1.759465305134654,0.2513521864478077
2020-08-30,4,5,9,4.697295116260648,0.5219216795845164
2020-08-31,3,5,8,4.7686395812779665,0.5960799476597458
2020-09-01,0,1,1,0.6911791563034058,0.6911791563034058
2020-09-02,3,2,5,2.077145516872406,0.4154291033744812
2020-09-03,6,7,13,6.738412333652377,0.5183394102809521
2020-09-04,61,12,73,28.001036407426,0.38357584119761645
2020-09-05,42,8,50,14.998521078377962,0.29997042156755926
2020-09-06,17,6,23,7.893552340567112,0.343197927850744
2020-09-07,5,3,8,3.9278552355244756,0.49098190444055945
2020-09-08,0,2,2,1.5484315156936646,0.7742157578468323
2020-09-09,1,4,5,3.258594728074968,0.6517189456149936
2020-09-10,4,6,10,5.277331626042724,0.5277331626042724
2020-09-11,3,1,4,1.1665044017136097,0.2916261004284024
2020-09-12,2,3,5,2.642469512298703,0.5284939024597406
2020-09-13,4,2,6,2.107949231751263,0.35132487195854384
2020-09-14,1,3,4,2.6129159033298492,0.6532289758324623
2020-09-15,4,5,9,4.242018434219062,0.4713353815798958
2020-09-16,2,9,11,6.871827946975827,0.624711631543257
2020-09-17,3,6,9,4.640763363335282,0.5156403737039201
2020-09-18,0,5,5,4.268344759941101,0.8536689519882202
2020-09-19,1,1,2,1.0640780478715897,0.5320390239357948
2020-09-20,2,2,4,2.1542834378778934,0.5385708594694734
2020-09-21,3,8,11,7.199774460867047,0.6545249509879134
2020-09-22,0,1,1,0.9048445224761963,0.9048445224761963
2020-09-23,3,4,7,3.91292904317379,0.5589898633105415
2020-09-24,2,7,9,6.753407992422581,0.7503786658247312
2020-09-25,4,5,9,4.072998950257897,0.45255543891754413
2020-09-26,5,6,11,4.969012729823589,0.4517284299839627
2020-09-27,2,8,10,7.006402734667063,0.7006402734667063
2020-09-28,3,5,8,4.91697334498167,0.6146216681227088
2020-09-29,2,3,5,2.550764285027981,0.5101528570055962
2020-09-30,3,3,6,3.1329522635787725,0.5221587105964621
2020-10-01,3,7,10,6.477318592369556,0.6477318592369556
2020-10-02,8,6,14,5.5870644096285105,0.39907602925917934
2020-10-03,5,3,8,3.0861752405762672,0.3857719050720334
2020-10-04,5,1,6,1.0640724282711744,0.17734540471186241
2020-10-05,1,5,6,4.671042717993259,0.7785071196655432
2020-10-06,2,5,7,5.1567816734313965,0.7366830962044852
2020-10-07,2,2,4,1.8935106191784143,0.4733776547946036
2020-10-08,1,2,3,2.1711223125457764,0.7237074375152588
2020-10-09,1,3,4,2.6430753618478775,0.6607688404619694
2020-10-10,3,6,9,5.864222053438425,0.651580228159825
2020-10-11,5,1,6,1.1851922208443284,0.19753203680738807
2020-10-12,4,6,10,5.744887202978134,0.5744887202978134
2020-10-13,7,5,12,5.02203866513446,0.41850322209453833
2020-10-14,3,4,7,3.6876448318362236,0.526806404548032
2020-10-15,4,3,7,3.319549895823002,0.4742214136890003
2020-10-16,2,6,8,5.618503451347351,0.7023129314184189
2020-10-17,2,5,7,4.589191944338381,0.6555988491911974
2020-10-18,9,4,13,4.977596443146467,0.3828920340881898
2020-10-19,5,3,8,3.0089895967394114,0.3761236995924264
2020-10-20,5,3,8,3.5406122095882893,0.44257652619853616
2020-10-21,5,11,16,9.50159008614719,0.5938493803841993
2020-10-22,4,18,22,14.834787552244961,0.6743085251020436
2020-10-23,2,5,7,4.535663537681103,0.6479519339544433
2020-10-24,3,5,8,4.462399081327021,0.5577998851658776
2020-10-25,3,6,9,5.904550813138485,0.6560612014598317
2020-10-26,2,8,10,6.742534942924976,0.6742534942924976
2020-10-27,4,6,10,4.682993486523628,0.46829934865236283
2020-10-28,0,7,7,5.938256502151489,0.8483223574502128
2020-10-29,3,13,16,11.774002395570278,0.7358751497231424
2020-10-30,2,6,8,5.125637111254036,0.6407046389067546
2020-10-31,6,10,16,8.962422058917582,0.5601513786823489
2020-11-01,2,2,4,1.5049426881596446,0.37623567203991115
2020-11-02,0,4,4,3.140172839164734,0.7850432097911835
2020-11-03,1,0,1,0.35320988297462463,0.35320988297462463
2020-11-04,2,2,4,1.5165632525458932,0.3791408131364733
2020-11-05,2,2,4,1.3361211456358433,0.3340302864089608
2020-11-06,2,1,3,0.9112373879179358,0.3037457959726453
2020-11-07,0,2,2,1.7737257480621338,0.8868628740310669
2020-11-08,1,1,2,0.6408334840089083,0.32041674200445414
2020-11-09,5,2,7,2.1155408304184675,0.3022201186312096
2020-11-10,36,12,48,13.17412848258391,0.27446101005383144
2020-11-11,9,9,18,7.421583557501435,0.41231019763896865
2020-11-12,10,4,14,5.394168183207512,0.38529772737196516
2020-11-13,6,11,17,8.722859339788556,0.5131093729287386
2020-11-14,7,6,13,5.134319743141532,0.3949476725493486
2020-11-15,2,1,3,0.8805033322423697,0.29350111074745655
2020-11-16,3,3,6,2.8434542324393988,0.4739090387398998
2020-11-17,9,3,12,5.18321219086647,0.43193434923887253
2020-11-18,2,4,6,3.3961088359355927,0.5660181393225988
2020-11-19,0,3,3,2.6385592818260193,0.8795197606086731
2020-11-20,11,1,12,2.3663112241774797,0.19719260201478997
2020-11-21,15,9,24,10.717388144694269,0.4465578393622612
2020-11-22,11,12,23,10.848026541993022,0.47165332791274006
2020-11-23,8,16,24,11.793594177812338,0.4913997574088474
2020-11-24,13,28,41,19.879886373877525,0.48487527741164693
2020-11-25,0,9,9,6.984094560146332,0.7760105066829257
2020-11-26,0,7,7,5.328576564788818,0.7612252235412598
2020-11-27,1,1,2,0.6836146339774132,0.3418073169887066
2020-11-28,4,5,9,5.187058305367827,0.5763398117075363
2020-11-29,2,4,6,3.505749956704676,0.5842916594507793
2020-11-30,1,4,5,3.759194500744343,0.7518389001488686
2020-12-01,2,3,5,2.3665628787130117,0.4733125757426023
2020-12-02,1,1,2,0.8900135736912489,0.44500678684562445
2020-12-03,1,4,5,3.328499408904463,0.6656998817808926
2020-12-04,2,7,9,6.170759551227093,0.6856399501363436
2020-12-05,1,3,4,2.4861760400235653,0.6215440100058913
2020-12-06,2,5,7,3.930642243474722,0.5615203204963889
2020-12-07,2,6,8,5.523182205855846,0.6903977757319808
2020-12-08,4,6,10,5.826353877782822,0.5826353877782822
2020-12-09,3,1,4,1.620282819494605,0.40507070487365127
2020-12-10,1,0,1,0.3954496383666992,0.3954496383666992
2020-12-11,5,2,7,1.6056849418673664,0.22938356312390948
2020-12-12,10,2,12,2.660622587893158,0.22171854899109653
2020-12-13,5,2,7,1.996772582642734,0.28525322609181913
2020-12-14,4,3,7,2.4443868035450578,0.3491981147921511
2020-12-15,1,5,6,3.7074911892414093,0.6179151982069016
2020-12-16,1,6,7,4.989728540182114,0.7128183628831591
2020-12-17,4,0,4,0.5131698339246213,0.12829245848115534
2020-12-18,7,0,7,1.609652392566204,0.22995034179517201
2020-12-19,2,2,4,2.723629117012024,0.680907279253006
2020-12-20,4,3,7,2.7277986286208034,0.38968551837440046
2020-12-21,4,5,9,3.8927783584222198,0.43253092871357995
2020-12-22,2,0,2,0.10343899577856064,0.05171949788928032
2020-12-23,3,11,14,8.363380264490843,0.5973843046064887
2020-12-24,4,6,10,4.578797470778227,0.4578797470778227
2020-12-25,4,4,8,4.324554628226906,0.5405693285283633
2020-12-26,2,6,8,4.549420520663261,0.5686775650829077
2020-12-27,8,19,27,15.98399726068601,0.5919998985439263
2020-12-28,10,3,13,3.140329955611378,0.24156384273933676
2020-12-29,4,5,9,4.611914902925491,0.5124349892139435
2020-12-30,3,2,5,2.0474860444664955,0.4094972088932991
2020-12-31,3,2,5,1.8429529294371605,0.3685905858874321
2021-01-01,4,9,13,8.406884338706732,0.6466834106697485
2021-01-02,16,8,24,10.08400822430849,0.4201670093461871
2021-01-03,13,2,15,2.4669918045401573,0.16446612030267715
2021-01-04,2,2,4,1.4579301942139864,0.3644825485534966
2021-01-05,1,2,3,1.7881688326597214,0.5960562775532404
2021-01-06,1,1,2,1.0242027193307877,0.5121013596653938
2021-01-07,4,1,5,1.7347265481948853,0.3469453096389771
2021-01-08,5,2,7,2.118280664086342,0.30261152344090597
2021-01-09,5,4,9,3.868507022038102,0.4298341135597891
2021-01-10,6,5,11,5.01103690918535,0.4555488099259409
2021-01-11,6,2,8,2.1850711363367736,0.2731338920420967
2021-01-12,14,32,46,25.78274125792086,0.5604943751721926
2021-01-13,58,35,93,39.53824600856751,0.42514243019965064
2021-01-14,5,5,10,5.042299618013203,0.5042299618013203
2021-01-15,6,4,10,3.920254989527166,0.3920254989527166
2021-01-16,3,4,7,4.071327775716782,0.5816182536738259
2021-01-17,3,12,15,11.27164163440466,0.7514427756269773
2021-01-18,116,30,146,35.700436022598296,0.24452353440135818
2021-01-19,1,1,2,0.9965161979198456,0.4982580989599228
2021-01-20,1,3,4,2.5218099914491177,0.6304524978622794
2021-01-21,16,8,24,8.926479106768966,0.3719366294487069
2021-01-22,19,5,24,7.364820124814287,0.3068675052005953
2021-01-23,10,2,12,3.6197422575205564,0.30164518812671304
2021-01-24,9,12,21,10.818791831843555,0.5151805634211216
2021-01-25,20,4,24,5.906481419689953,0.24610339248708138
2021-01-26,10,4,14,4.869727113284171,0.3478376509488693
2021-01-27,14,7,21,7.807426316197962,0.37178220553323627
2021-01-28,2,5,7,4.78085021674633,0.6829786023923329
2021-01-29,8,4,12,4.53022193768993,0.37751849480749416
2021-01-30,2,1,3,0.8213241538032889,0.27377471793442965
2021-01-31,5,3,8,2.5156122650951147,0.31445153313688934
2021-02-01,4,1,5,1.6448835590854287,0.32897671181708577
2021-02-02,5,2,7,1.8881443068385124,0.26973490097693037
2021-02-03,5,6,11,5.341286175884306,0.48557147053493693
2021-02-04,6,8,14,7.315762034617364,0.5225544310440975
2021-02-05,7,4,11,3.552640713751316,0.322967337613756
2021-02-06,1,7,8,6.590089440345764,0.8237611800432205
2021-02-07,3,3,6,2.772029511164874,0.462004918527479
2021-02-08,4,3,7,3.0726667251437902,0.43895238930625574
2021-02-09,4,2,6,1.889865733217448,0.314977622202908
2021-02-10,6,3,9,3.131378434598446,0.3479309371776051
2021-02-11,2,0,2,0.026863774750381708,0.013431887375190854
2021-02-12,3,0,3,0.5578594347462058,0.18595314491540194
2021-02-13,1,13,14,10.281981378793716,0.7344272413424083
2021-02-14,1,15,16,9.169846957549453,0.5731154348468408
2021-02-15,4,8,12,5.762297315523028,0.48019144296025235
2021-02-16,2,5,7,3.350921206176281,0.4787030294537544
2021-02-17,3,5,8,4.836133636534214,0.6045167045667768
2021-02-18,1,9,10,7.636550188064575,0.7636550188064575
2021-02-19,5,2,7,2.0917375599965453,0.2988196514280779
2021-02-20,1,3,4,2.876449152827263,0.7191122882068157
2021-02-21,3,2,5,1.8795343907549977,0.37590687815099955
2021-02-22,2,6,8,5.548987706657499,0.6936234633321874
2021-02-23,2,4,6,3.247042319737375,0.5411737199562291
2021-02-24,3,1,4,1.3150458633899689,0.3287614658474922
